,Date,Open,High,Low,Close,Volume,Adj Close
0,2016-07-01,17924.240234,18002.380859,17916.910156,17949.369141,82160000,17949.369141
1,2016-06-30,17712.759766,17930.609375,17711.800781,17929.990234,133030000,17929.990234
2,2016-06-29,17456.019531,17704.509766,17456.019531,17694.679688,106380000,17694.679688
3,2016-06-28,17190.509766,17409.720703,17190.509766,17409.720703,112190000,17409.720703
4,2016-06-27,17355.210938,17355.210938,17063.080078,17140.240234,138740000,17140.240234
5,2016-06-24,17946.630859,17946.630859,17356.339844,17400.75,239000000,17400.75
6,2016-06-23,17844.109375,18011.070312,17844.109375,18011.070312,98070000,18011.070312
7,2016-06-22,17832.669922,17920.160156,17770.359375,17780.830078,89440000,17780.830078
8,2016-06-21,17827.330078,17877.839844,17799.800781,17829.730469,85130000,17829.730469
9,2016-06-20,17736.869141,17946.359375,17736.869141,17804.869141,99380000,17804.869141
10,2016-06-17,17733.439453,17733.439453,17602.779297,17675.160156,248680000,17675.160156
11,2016-06-16,17602.230469,17754.910156,17471.289062,17733.099609,91950000,17733.099609
12,2016-06-15,17703.650391,17762.960938,17629.009766,17640.169922,94130000,17640.169922
13,2016-06-14,17710.769531,17733.919922,17595.789062,17674.820312,93740000,17674.820312
14,2016-06-13,17830.5,17893.279297,17731.349609,17732.480469,101690000,17732.480469
15,2016-06-10,17938.820312,17938.820312,17812.339844,17865.339844,90540000,17865.339844
16,2016-06-09,17969.980469,18005.220703,17915.880859,17985.189453,69690000,17985.189453
17,2016-06-08,17931.910156,18016.0,17931.910156,18005.050781,71260000,18005.050781
18,2016-06-07,17936.220703,18003.230469,17936.220703,17938.279297,78750000,17938.279297
19,2016-06-06,17825.689453,17949.679688,17822.810547,17920.330078,71870000,17920.330078
20,2016-06-03,17799.800781,17833.169922,17689.679688,17807.060547,82270000,17807.060547
21,2016-06-02,17789.050781,17838.560547,17703.550781,17838.560547,75560000,17838.560547
22,2016-06-01,17754.550781,17809.179688,17664.789062,17789.669922,78530000,17789.669922
23,2016-05-31,17891.5,17899.240234,17724.029297,17787.199219,147390000,17787.199219
24,2016-05-27,17826.849609,17873.220703,17824.730469,17873.220703,73190000,17873.220703
25,2016-05-26,17859.519531,17888.660156,17803.820312,17828.289062,68940000,17828.289062
26,2016-05-25,17735.089844,17891.710938,17735.089844,17851.509766,79180000,17851.509766
27,2016-05-24,17525.189453,17742.589844,17525.189453,17706.050781,86480000,17706.050781
28,2016-05-23,17507.039062,17550.699219,17480.050781,17492.929688,87790000,17492.929688
29,2016-05-20,17437.320312,17571.75,17437.320312,17500.939453,111990000,17500.939453
30,2016-05-19,17514.160156,17514.160156,17331.070312,17435.400391,95530000,17435.400391
31,2016-05-18,17501.279297,17636.220703,17418.210938,17526.619141,79120000,17526.619141
32,2016-05-17,17701.460938,17701.460938,17469.919922,17529.980469,103260000,17529.980469
33,2016-05-16,17531.759766,17755.800781,17531.759766,17710.710938,88440000,17710.710938
34,2016-05-13,17711.119141,17734.740234,17512.480469,17535.320312,86640000,17535.320312
35,2016-05-12,17711.119141,17798.189453,17625.380859,17720.5,88560000,17720.5
36,2016-05-11,17919.029297,17919.029297,17711.050781,17711.119141,87390000,17711.119141
37,2016-05-10,17726.660156,17934.609375,17726.660156,17928.349609,75790000,17928.349609
38,2016-05-09,17743.849609,17783.160156,17668.380859,17705.910156,85590000,17705.910156
39,2016-05-06,17650.300781,17744.539062,17580.380859,17740.630859,80020000,17740.630859
40,2016-05-05,17664.480469,17736.109375,17615.820312,17660.710938,81530000,17660.710938
41,2016-05-04,17735.019531,17738.060547,17609.009766,17651.259766,95020000,17651.259766
42,2016-05-03,17870.75,17870.75,17670.880859,17750.910156,97060000,17750.910156
43,2016-05-02,17783.779297,17912.349609,17773.710938,17891.160156,80100000,17891.160156
44,2016-04-29,17813.089844,17814.830078,17651.980469,17773.640625,136670000,17773.640625
45,2016-04-28,18023.880859,18035.730469,17796.550781,17830.759766,100920000,17830.759766
46,2016-04-27,17996.140625,18084.660156,17920.259766,18041.550781,109090000,18041.550781
47,2016-04-26,17987.380859,18043.769531,17934.169922,17990.320312,92570000,17990.320312
48,2016-04-25,17990.939453,17990.939453,17855.550781,17977.240234,83770000,17977.240234
49,2016-04-22,17985.050781,18026.849609,17909.890625,18003.75,134120000,18003.75
50,2016-04-21,18092.839844,18107.289062,17963.890625,17982.519531,102720000,17982.519531
51,2016-04-20,18059.490234,18167.630859,18031.210938,18096.269531,100210000,18096.269531
52,2016-04-19,18012.099609,18103.460938,17984.429688,18053.599609,89820000,18053.599609
53,2016-04-18,17890.199219,18009.529297,17848.220703,18004.160156,89390000,18004.160156
54,2016-04-15,17925.949219,17937.650391,17867.410156,17897.460938,118160000,17897.460938
55,2016-04-14,17912.25,17962.140625,17885.439453,17926.429688,84510000,17926.429688
56,2016-04-13,17741.660156,17918.349609,17741.660156,17908.279297,91710000,17908.279297
57,2016-04-12,17571.339844,17744.429688,17553.570312,17721.25,81020000,17721.25
58,2016-04-11,17586.480469,17731.630859,17555.900391,17556.410156,107100000,17556.410156
59,2016-04-08,17555.390625,17694.509766,17528.160156,17576.960938,79990000,17576.960938
60,2016-04-07,17687.279297,17687.279297,17484.230469,17541.960938,90120000,17541.960938
61,2016-04-06,17605.449219,17723.550781,17542.539062,17716.050781,99410000,17716.050781
62,2016-04-05,17718.029297,17718.029297,17579.560547,17603.320312,115230000,17603.320312
63,2016-04-04,17799.390625,17806.380859,17710.669922,17737.0,85230000,17737.0
64,2016-04-01,17661.740234,17811.480469,17568.019531,17792.75,104890000,17792.75
65,2016-03-31,17716.050781,17755.699219,17669.720703,17685.089844,102600000,17685.089844
66,2016-03-30,17652.359375,17790.109375,17652.359375,17716.660156,79330000,17716.660156
67,2016-03-29,17512.580078,17642.810547,17434.269531,17633.109375,86160000,17633.109375
68,2016-03-28,17526.080078,17583.810547,17493.029297,17535.390625,70460000,17535.390625
69,2016-03-24,17485.330078,17517.140625,17399.009766,17515.730469,84100000,17515.730469
70,2016-03-23,17588.810547,17588.810547,17486.269531,17502.589844,84240000,17502.589844
71,2016-03-22,17602.710938,17648.939453,17540.419922,17582.570312,95450000,17582.570312
72,2016-03-21,17589.699219,17644.970703,17551.279297,17623.869141,84410000,17623.869141
73,2016-03-18,17481.490234,17620.580078,17481.490234,17602.300781,321230000,17602.300781
74,2016-03-17,17321.380859,17529.009766,17297.650391,17481.490234,117990000,17481.490234
75,2016-03-16,17249.339844,17379.179688,17204.070312,17325.759766,118710000,17325.759766
76,2016-03-15,17217.150391,17251.699219,17120.349609,17251.529297,92830000,17251.529297
77,2016-03-14,17207.490234,17275.070312,17161.160156,17229.130859,96350000,17229.130859
78,2016-03-11,17014.990234,17220.089844,17014.990234,17213.310547,123420000,17213.310547
79,2016-03-10,17006.050781,17130.109375,16821.859375,16995.130859,117570000,16995.130859
80,2016-03-09,16969.169922,17048.5,16947.939453,17000.359375,116690000,17000.359375
81,2016-03-08,17050.669922,17072.789062,16921.509766,16964.099609,108380000,16964.099609
82,2016-03-07,16991.289062,17099.25,16940.480469,17073.949219,100290000,17073.949219
83,2016-03-04,16945.0,17062.380859,16898.839844,17006.769531,106910000,17006.769531
84,2016-03-03,16896.169922,16944.310547,16820.730469,16943.900391,91110000,16943.900391
85,2016-03-02,16851.169922,16900.169922,16766.320312,16899.320312,104470000,16899.320312
86,2016-03-01,16545.669922,16865.560547,16545.669922,16865.080078,105050000,16865.080078
87,2016-02-29,16634.150391,16726.119141,16510.400391,16516.5,126220000,16516.5
88,2016-02-26,16712.699219,16795.980469,16623.910156,16639.970703,98480000,16639.970703
89,2016-02-25,16504.380859,16697.980469,16458.419922,16697.289062,94120000,16697.289062
90,2016-02-24,16418.839844,16507.390625,16165.860352000002,16484.990234,93620000,16484.990234
91,2016-02-23,16610.390625,16610.390625,16403.529297,16431.779297,98170000,16431.779297
92,2016-02-22,16417.130859,16664.240234,16417.130859,16620.660156,102240000,16620.660156
93,2016-02-19,16410.960938,16410.960938,16278.0,16391.990234,134340000,16391.990234
94,2016-02-18,16483.759766,16511.839844,16390.429688,16413.429688,104950000,16413.429688
95,2016-02-17,16217.980469,16486.119141,16217.980469,16453.830078,124080000,16453.830078
96,2016-02-16,16012.389647999998,16196.410156,16012.389647999998,16196.410156,142030000,16196.410156
97,2016-02-12,15691.620116999999,15974.040038999998,15691.620116999999,15973.839844,132550000,15973.839844
98,2016-02-11,15897.820312,15897.820312,15503.009766,15660.179688,172070000,15660.179688
