STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/17/2008,0.08,73,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/18/2008,0.17,64,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/19/2008,0,59,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/20/2008,0.38,53,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/21/2008,0.01,68,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/22/2008,0.04,61,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/23/2008,0,69,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/24/2008,0,71,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/25/2008,0,78,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/26/2008,0,83,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/27/2008,0.34,85,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/28/2008,0,69,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/29/2008,0,78,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/30/2008,0,83,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/31/2008,0.08,77,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/1/2008,0.01,83,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/2/2008,0,81,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/3/2008,0.01,83,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/4/2008,0.52,70,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/5/2008,0,74,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/6/2008,0,81,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/7/2008,0.09,95,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/8/2008,0.72,94,70
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/9/2008,0.01,98,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/10/2008,0.23,96,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/11/2008,0,86,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/12/2008,0,85,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/13/2008,0,89,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/14/2008,0.4,89,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/15/2008,0,85,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/16/2008,0.27,82,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/17/2008,0.01,76,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/18/2008,0.24,73,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/19/2008,0.01,75,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/20/2008,0.48,80,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/21/2008,0,84,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/22/2008,0.42,78,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/23/2008,0,82,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/24/2008,0.17,79,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/25/2008,0,83,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/26/2008,0.02,82,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/27/2008,0,84,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/28/2008,0,88,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/29/2008,0.03,87,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/30/2008,0,85,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/1/2008,0,85,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/2/2008,0,85,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/3/2008,0.11,90,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/4/2008,0.09,77,68
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/5/2008,0.11,75,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/6/2008,0,80,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/7/2008,0,84,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/8/2008,0.01,90,70
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/9/2008,0.2,86,72
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/10/2008,0,86,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/11/2008,0,87,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/12/2008,0,88,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/13/2008,0,85,68
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/14/2008,0.68,82,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/15/2008,0,88,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/16/2008,0,90,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/17/2008,0,91,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/18/2008,0,94,68
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/19/2008,0,95,75
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/20/2008,0.09,94,73
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/21/2008,0,90,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/22/2008,0,93,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/23/2008,1.54,81,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/24/2008,0.54,82,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/25/2008,0,85,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/26/2008,0,85,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/27/2008,0.42,81,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/28/2008,0,87,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/29/2008,0,89,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/30/2008,0,88,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/31/2008,0,88,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/1/2008,0,88,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/2/2008,0.28,79,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/3/2008,0,82,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/4/2008,0,85,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/5/2008,0.02,86,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/6/2008,0.18,87,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/7/2008,0,84,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/8/2008,0,80,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/9/2008,0,80,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/10/2008,0,80,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/11/2008,0.37,73,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/12/2008,0.01,81,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/13/2008,0,82,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/14/2008,0.05,84,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/15/2008,0.03,81,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/16/2008,0.01,81,60
